Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Sst	37	4519	393	2279	[2279, 2259, 2277, 0]	[0.9995548176460753, 4.234105686121899e-17, 1.3530176715122482e-119, 0.00044518235392474354]
Sst	37	4520	386	2279	[2279, 2277, 2259, 0]	[0.9986823557270383, 1.672552543661877e-93, 9.652648469900124e-20, 0.0013176442729616504]
Sst	37	4521	394	2279	[2279, 2259, 2277, 0]	[0.9995169340454879, 2.6162142467797276e-17, 2.814415335326496e-121, 0.0004830659545120986]
Sst	37	4524	396	2279	[2279, 2259, 2277, 0]	[0.9994633637352326, 1.202125304663131e-17, 3.021809817501248e-126, 0.0005366362647673767]
Sst	37	4525	405	2279	[2279, 2259, 2277, 0]	[0.9995624252812866, 2.2396178553952364e-16, 1.1314927995123123e-162, 0.00043757471871308957]
Sst	37	4528	401	2279	[2279, 2259, 2277, 0]	[0.9994309279064504, 4.540723000421852e-18, 1.9271481397535492e-143, 0.000569072093549736]
Sst	37	4529	406	2279	[2279, 2259, 2277, 0]	[0.9994306508155562, 6.43420684825275e-18, 3.348211808614803e-164, 0.000569349184443747]
Sst	37	4530	399	2279	[2279, 2259, 2277, 0]	[0.9992040061781705, 4.0739160617225007e-19, 3.5663382895394623e-134, 0.0007959938218295358]
Sst	37	4531	432	2279	[2279, 2269, 2259, 0]	[0.9560352291638324, 8.520475603514052e-34, 5.330697738860481e-21, 0.04396477083616763]
Sst	37	4532	399	2279	[2279, 2259, 2277, 0]	[0.9989823914563909, 6.957899880187227e-20, 2.5242376281831147e-133, 0.0010176085436091214]
Sst	37	4533	397	2279	[2279, 2277, 2259, 0]	[0.9985518386855298, 4.1478308991139477e-125, 1.5168885905212823e-20, 0.0014481613144703565]
Npy	22	4566	420	0	[2308, 2279, 2273, 0]	[1.8460801436693692e-23, 0.18408682070848553, 1.8432975367301168e-30, 0.8159131792915144]
